,tweet_tokenized
107,"['those', 'nypd', 'cops', 'are', 'doing', 'the', 'right', 'thing', 'to', 'save', 'our', 'society', 'from', 'social', 'misfits', 'and', 'zombies', 'covid', 'ought', 'not', 'to', 'be', 'a', 'political', 'game', 'it', 'kills', 'at', 'will']"
108,"['alex', 'jones', 'unloads', 'on', 'trump', 'completely', 'ignorant', 'about', 'the', 'so', 'called', 'vaccine', 'one', 'of', 'the', 'most', 'evil', 'men', 'who', 'ever', 'lived', 'alexjones', 'vs', 'donaldtrump', 'getvaccinatednow', 'covid']"
109,"['why', 'are', 'you', 'sending', 'me', 'blatant', 'covid', 'omicron', 'propaganda', 'when', 'this', 'week', 'the', 'confirmed', 'booster', 'should', 'be', 'used', 'in', 'people', 'over', 'only', 'stop', 'the', 'bullshit']"
110,"['does', 'the', 'ongoing', 'pandemic', 'continue', 'to', 'give', 'anyone', 'else', 'extreme', 'anxiety', 'about', 'being', 'in', 'public', 'covid', 'covid', 'disabilitytwitter', 'tourettes', 'autism']"
111,"['nodiscrimination', 'covid', 'covid', 'pls', 'this', 'video', 'must', 'be', 'viral']"
112,"['jordi', 'alba', 'becomes', 'third', 'barca', 'player', 'to', 'test', 'positive', 'for', 'covid', 'check', 'full', 'barcelona', 'covid', 'barca', 'jordialba']"
113,"['need', 'a', 'covid', 'test', 'it', 's', 'easy', 'to', 'get', 'one', 'here', 'in', 'nairobi', 'for', 'everything', 'you', 'need', 'to', 'know', 'call', 'or', 'api', 'whatsapp', 'com', 'email', 'covidtest', 'ke', 'gmail', 'com', 'no', 'more', 'long', 'queues', 'no', 'more', 'being', 'stuck', 'in', 'traffic', 'for', 'hours', 'no', 'more', 'waiting', 'for', 'long', 'hours', 'in']"
114,"['sad', 'old', 'man', 'do', 'you', 'find', 'it', 'funny', 'about', 'people', 'becoming', 'infected', 'with', 'covid']"
115,"['my', 'conversation', 'with', 'an', 'anti', 'vaxxer', 'this', 'morning', 'regarding', 'transparency', 'of', 'the', 'vaccine', 'antivax', 'covid', 'transparency', 'hotdogs']"
116,"['bmc', 'issues', 'new', 'rules', 'for', 'mumbai', 'residents', 'arriving', 'from', 'dubai', 'travelnews', 'travel', 'covid', 'dubai']"
117,"['and', 's', 'achievements', 'restricted', 'to', 'covid', 'deaths', 'extremely', 'high', 'unemployment', 'and', 'collection', 'of', 'crores', 'through', 'electoral', 'bonds', 'without', 'name', 'of', 'buyers']"
118,"['throwback', 'the', 'impact', 'of', 'covid', 'on', 'livelihoods', 'for', 'vulnerable', 'people', 'has', 'required', 'wfp', 'to', 'expand', 'to', 'urban', 'areas', 'in', 'we', 've', 'reached', 'families', 'with', 'cash', 'transfers', 'in', 'district', 'towns', 'more', 'here', 'w', 'and']"
119,"['covid', 'maharashtra', 'reports', 'new', 'cases', 'recoveries', 'and', 'deaths', 'today', 'active', 'cases', 'no', 'new', 'omicron', 'case', 'was', 'reported', 'in', 'the', 'state', 'till', 'date', 'a', 'total', 'of', 'omicron', 'cases', 'have', 'been', 'reported', 'in', 'maharashtra', 'ani']"
120,"['so', 'why', 'don', 't', 'some', 'ghanaians', 'believe', 'covid', 'is', 'still', 'here', 'and', 'wrecking', 'families', 'do', 'they', 'know', 'something', 'the', 'rest', 'of', 'us', 'don', 't', 'know', 'covid']"
121,"['good', 'news', 'for', 'the', 'newyear', 'via', 'covid', 'economy', 'climatechange']"
122,"['re', 'watching', 'itsasin', 'today', 'best', 'part', 'of', 'my', 'covid', 'isolation', 'so', 'far']"
123,"['facts', 'matter', 'least', 'vaccinated', 'states', 'offer', 'the', 'highest', 'death', 'rate', 'per', 'from', 'covid', 'wonder', 'how', 'many', 'other', 'types', 'of', 'death', 'increased', 'in', 'these', 'states', 'when', 'hospitals', 'are', 'overcrowded', 'with', 'unvaccinated']"
124,"['lying', 'fuckers', 'complete', 'and', 'utter', 'liars', 'covidiots', 'covid', 'british', 'coviduk']"
